BuiltMolecule,bond_lenght,bond_Angle,DFT-b3lyp,NN-Functional.DM21m
cc-pVDZ,0.86,107,-76.35573807,
cc-pVDZ,0.86,108,-76.35575576,
cc-pVDZ,0.86,109,-76.35572435,
cc-pVDZ,0.86,110,-76.355645,
cc-pVDZ,0.86,111,-76.35551892,
cc-pVDZ,0.86,112,-76.35534731,
cc-pVDZ,0.86,113,-76.35513143,
cc-pVDZ,0.88,95,-76.36214273,
cc-pVDZ,0.88,96,-76.36277635,
cc-pVDZ,0.88,97,-76.36334878,
cc-pVDZ,0.88,98,-76.36386104,
cc-pVDZ,0.88,99,-76.36431417,
cc-pVDZ,0.88,100,-76.36470918,
cc-pVDZ,0.88,101,-76.3650471,
cc-pVDZ,0.88,102,-76.36532896,
cc-pVDZ,0.88,103,-76.36555577,
cc-pVDZ,0.88,104,-76.36572858,
cc-pVDZ,0.88,105,-76.36584845,
cc-pVDZ,0.88,106,-76.36591643,
cc-pVDZ,0.88,107,-76.36593363,
cc-pVDZ,0.88,108,-76.36590115,
cc-pVDZ,0.88,109,-76.36582012,
cc-pVDZ,0.88,110,-76.36569172,
cc-pVDZ,0.88,111,-76.36551712,
cc-pVDZ,0.88,112,-76.36529755,
cc-pVDZ,0.88,113,-76.36503423,
cc-pVDZ,0.9,95,-76.37027458,
cc-pVDZ,0.9,96,-76.37085106,
cc-pVDZ,0.9,97,-76.37136723,
cc-pVDZ,0.9,98,-76.37182407,
cc-pVDZ,0.9,99,-76.37222258,
cc-pVDZ,0.9,100,-76.37256372,
cc-pVDZ,0.9,101,-76.3728485,
cc-pVDZ,0.9,102,-76.37307791,
cc-pVDZ,0.9,103,-76.37325296,
cc-pVDZ,0.9,104,-76.37337468,
cc-pVDZ,0.9,105,-76.3734441,
cc-pVDZ,0.9,106,-76.37346228,
cc-pVDZ,0.9,107,-76.3734303,
cc-pVDZ,0.9,108,-76.37334926,
cc-pVDZ,0.9,109,-76.37322028,
cc-pVDZ,0.9,110,-76.37304451,
cc-pVDZ,0.9,111,-76.37282312,
cc-pVDZ,0.9,112,-76.37255731,
cc-pVDZ,0.9,113,-76.37224832,
cc-pVDZ,0.92,95,-76.37603083,
cc-pVDZ,0.92,96,-76.37655169,
cc-pVDZ,0.92,97,-76.37701312,
cc-pVDZ,0.92,98,-76.37741608,
cc-pVDZ,0.92,99,-76.37776152,
cc-pVDZ,0.92,100,-76.37805039,
cc-pVDZ,0.92,101,-76.37828366,
cc-pVDZ,0.92,102,-76.3784623,
cc-pVDZ,0.92,103,-76.37858731,
cc-pVDZ,0.92,104,-76.37865969,
cc-pVDZ,0.92,105,-76.37868046,
cc-pVDZ,0.92,106,-76.37865065,
cc-pVDZ,0.92,107,-76.37857134,
cc-pVDZ,0.92,108,-76.37844361,
cc-pVDZ,0.92,109,-76.37826857,
cc-pVDZ,0.92,110,-76.37804737,
cc-pVDZ,0.92,111,-76.37778116,
cc-pVDZ,0.92,112,-76.37747113,
cc-pVDZ,0.92,113,-76.37711849,
cc-pVDZ,0.94,95,-76.37971105,
cc-pVDZ,0.94,96,-76.38017801,
cc-pVDZ,0.94,97,-76.38058645,
cc-pVDZ,0.94,98,-76.38093729,
cc-pVDZ,0.94,99,-76.38123146,
cc-pVDZ,0.94,100,-76.38146989,
